standard location,stimuli location,bootstrap row,gm mag,gm stdev,sm mag,sm stdev,train error,test error
180,-90,31,0.744112903,12.37746537,0.726373727,16.47823449,0.001075044,0.001295267
180,-90,32,0.753948658,41.66557445,0.744398068,43.71252273,0.002009209,0.002078883
180,-90,33,0.754303531,55.45159583,0.751145307,58.40328597,0.002437819,0.002417034
180,-90,34,0.747494159,43.5592845,0.738834422,45.70197984,0.002044943,0.00201832
180,-90,35,0.749719827,105.0239813,0.847679272,118.665625,0.001338187,0.001726622
180,-90,36,0.752810602,36.19876196,0.738629729,37.22770614,0.000916039,0.001619546
180,-90,37,0.748141546,37.41453101,0.734903347,39.18581279,0.00181581,0.001754821
180,-90,38,0.762315217,41.43165282,0.749341943,43.12558482,0.001728116,0.002749065
180,-90,39,0.741717742,14.5695701,0.72292756,16.81923146,0.001104829,0.001461762
180,-90,40,0.739407326,48.68702455,0.72888608,50.89374034,0.002090199,0.002704566
180,-90,41,0.76289128,50.0965647,0.756618024,52.70503033,0.002494296,0.003139248
180,-90,42,0.733258064,13.24486424,0.717448973,16.24957541,0.00079186,0.001894535
180,-90,43,0.74409337,35.95448803,0.728667513,37.4645686,0.001561468,0.001764234
180,-90,44,0.750443832,42.39311467,0.739835395,43.60635109,0.000924007,0.001664309
180,-90,45,0.729795084,125.3660684,1.056100004,164.8938023,0.001827015,0.002559082
180,-90,46,0.728070776,98.08936498,0.825076758,113.1947918,0.002650835,0.00407591
180,-90,47,0.754568818,41.05873799,0.741540869,43.25031985,0.002514312,0.002215521
180,-90,48,0.717205007,66.81036203,0.736305302,72.4147476,0.003608832,0.007845847
180,-90,49,0.749615618,35.57883116,0.733644722,37.63036823,0.002461331,0.00200965
180,-90,50,0.738320867,29.30736608,0.721811516,29.82797918,0.000673309,0.001411607
180,-90,51,0.747374123,59.79939764,0.748159601,62.3367157,0.001366526,0.001818846
180,-90,52,0.760832871,38.61732405,0.746128437,41.05427384,0.003179316,0.0025711
180,-90,53,0.741846774,13.73677651,0.721653291,16.41324514,0.001211097,0.00159037
180,-90,54,0.755820091,55.70180939,0.758380965,59.58437489,0.003732613,0.002828985
180,-90,55,0.753857452,40.78109472,0.740368492,42.72628,0.002140878,0.002064113
180,-90,56,0.753161874,73.97172143,0.773743626,79.19165116,0.002207976,0.002188653
180,-90,57,0.742465303,80.02501804,0.760806177,84.77990612,0.001307647,0.00161739
180,-90,58,0.754806138,44.16168784,0.748863747,46.76620753,0.002768152,0.002398787
180,-90,59,0.74542568,49.40447419,0.734731453,52.52372832,0.003725413,0.003375782
180,-90,60,0.747837352,27.61289416,0.732509497,28.6424601,0.00102553,0.001188956
180,-90,61,0.746726491,41.64837116,0.734139415,43.43247301,0.001758096,0.001907701
180,-90,62,0.746894724,80.85469176,0.772659757,87.33411974,0.002225426,0.002014054
180,-90,63,0.737318475,32.71018286,0.718051794,34.23536687,0.001833432,0.002724404
180,-90,64,0.746878922,25.36719471,0.730124028,26.16624104,0.000851275,0.001159422
180,-90,65,0.7508538,27.13365849,0.737514762,28.29256314,0.00106414,0.0012707
180,-90,66,0.712470367,108.9256119,0.857886554,128.6671338,0.001806115,0.006495971
180,-90,67,0.726798198,110.5423299,0.921351844,136.4948919,0.002473242,0.004063413
180,-90,68,0.750782501,36.57990223,0.734913317,38.44952756,0.002232334,0.001896208
180,-90,69,0.753857819,38.00572261,0.737818815,38.90888987,0.001008777,0.001742053
180,-90,70,0.742669476,34.97451681,0.723919413,36.58489191,0.001994361,0.002230488
180,-90,71,0.757952733,38.20285939,0.745361023,39.88376953,0.001652096,0.00215917
180,-90,72,0.754912012,56.35876582,0.756281347,59.72333226,0.002840995,0.002540493
180,-90,73,0.734718795,35.08093597,0.7217789,36.91978097,0.001845913,0.002687771
180,-90,74,0.728578656,152.9912772,2.911169965,347.2180512,0.001733591,0.002794594
180,-90,75,0.761533302,50.05040936,0.752013576,52.08559474,0.001801782,0.002888557
180,-90,76,0.731140592,154.9761967,5,464.695317,0.002003159,0.002577369
180,-90,77,0.726816983,148.6918373,5,449.8230695,0.002588379,0.003631126
180,-90,78,0.757492768,42.25572318,0.746641646,44.37406674,0.002211268,0.002348495
180,-90,79,0.757599989,47.8353575,0.747706914,50.27188053,0.002520507,0.002550364
180,-90,80,0.749742015,35.87116061,0.730099228,37.77930985,0.00249003,0.002169993
180,-90,81,0.748433559,43.84167169,0.733672891,45.32502479,0.001515308,0.00184088
180,-90,82,0.755312677,45.44476872,0.746189411,47.4167033,0.001803249,0.002219133
180,-90,83,0.743368303,29.52861081,0.726314262,30.12599993,0.000769568,0.001246199
180,-90,84,0.749444688,37.12601593,0.73395716,38.92446614,0.002054231,0.00186503
180,-90,85,0.728132428,115.4770675,0.857370693,133.4479561,0.001026229,0.002289949
180,-90,86,0.752431271,74.87505697,0.762577057,78.8307131,0.0013763,0.001990236
180,-90,87,0.74843261,50.87491676,0.740536464,53.28265042,0.002150599,0.002203984
180,-90,88,0.734236183,34.11695547,0.720654839,36.18733508,0.002379461,0.003124
180,-90,89,0.756984196,52.94993713,0.749313682,55.64145175,0.002506039,0.002560047
180,-90,90,0.76109728,48.60031724,0.752364541,50.67395617,0.001843683,0.002846728
180,-90,91,0.752057233,49.77930402,0.742783449,52.36414439,0.002639622,0.002410186
180,-90,92,0.747329404,80.91225307,0.77946766,86.8600787,0.001743361,0.001749033
180,-90,93,0.757797583,26.73142071,0.737387931,27.87380876,0.001543868,0.001680063
180,-90,94,0.716482548,152.7943315,5,459.7942482,0.002191833,0.005255387
180,-90,95,0.750808249,35.70152964,0.734819196,37.10596477,0.00144699,0.001616894
180,-90,96,0.742833728,103.6497634,0.917109591,126.6404433,0.003304588,0.002401629
180,-90,97,0.73094453,77.26395825,0.769284385,84.60838351,0.002941179,0.003583258
180,-90,98,0.737238784,153.8715816,4.999999987,454.4327513,0.002078753,0.001702638
180,-90,99,0.750841509,34.48465389,0.735822043,35.23401167,0.00072936,0.001444365
180,0,0,0.736459677,49.7998541,0.811668956,57.0894258,0.000824677,0.00238384
180,0,1,0.770225806,49.35209327,0.800717083,52.93624262,0.000495072,0.002446383
180,0,2,0.764024194,48.64857754,0.807776564,53.58171399,0.000772253,0.001122608
180,0,3,0.750201613,49.78924262,0.79584141,54.48948052,0.000569792,0.000417531
180,0,4,0.749491935,49.48172981,0.796790325,54.12413653,0.000279332,0.00035784
180,0,5,0.756112903,48.48101155,0.809355328,53.67541465,0.00053297,0.00049185
180,0,6,0.755943548,48.41124762,0.806463381,53.67317222,0.000510067,0.000538633
180,0,7,0.761669355,48.18007882,0.829342572,54.37569636,0.00035268,0.000799052
180,0,8,0.755169355,48.32750925,0.812864145,53.85567239,0.000368406,0.000460069
180,0,9,0.756701613,49.24295081,0.787663873,52.64841024,0.000335972,0.00066421
180,0,10,0.761322581,48.5895411,0.80669546,53.57768955,0.000647154,0.000863657
180,0,11,0.754016129,49.90546549,0.785458052,53.58489776,0.000456518,0.000518908
180,0,12,0.752016129,48.86752396,0.798150906,53.38111229,0.000261766,0.000351865
180,0,13,0.752596774,47.92190735,0.81924891,54.45300402,0.000549956,0.000648684
180,0,14,0.762266129,48.72101476,0.812394803,53.60420178,0.000471575,0.000972684
180,0,15,0.747790323,49.89454019,0.789134976,54.16810983,0.00038105,0.000398579
180,0,16,0.734580645,48.41656614,0.832007439,56.56127818,0.000276007,0.002421285
180,0,17,0.745516129,49.1388241,0.813225837,55.49336832,0.000472888,0.000781301
180,0,18,0.760395161,48.55451249,0.820872254,53.91358531,0.000235564,0.000757321
180,0,19,0.742975806,49.95164917,0.787001605,54.8372185,0.000636434,0.000914707
180,0,20,0.732395161,49.9685768,0.763886687,54.1583232,0.000793311,0.002433881
180,0,21,0.762508065,48.08110305,0.835602129,54.61379575,0.000287096,0.000855755
180,0,22,0.764822581,49.0430136,0.799962074,53.06848467,0.000510646,0.001395448
180,0,23,0.768137097,48.83409057,0.817455482,53.79967146,0.000426153,0.001713398
180,0,24,0.761443548,49.15296112,0.791229217,52.73055643,0.000692238,0.001070649
180,0,25,0.770024194,49.36488234,0.802179539,52.9807468,0.000400883,0.002436894
180,0,26,0.74716129,48.64188776,0.804277335,53.77133727,0.000155658,0.000340772
180,0,27,0.741306452,48.8465952,0.823455955,56.20416029,0.000438492,0.001385076
180,0,28,0.756370968,49.14681914,0.790657763,52.8843882,0.000615547,0.000600595
180,0,29,0.74108871,49.83626952,0.802490824,55.92536158,0.000544906,0.001247107
180,0,30,0.747016129,49.76568223,0.801058095,55.13283001,0.000496961,0.000558694
180,0,31,0.748677419,49.6503802,0.815811906,56.59224959,0.001429531,0.001034984
180,0,32,0.760419355,48.78734386,0.806868136,53.397361,0.000342382,0.000821279
180,0,33,0.762935484,49.94091408,0.779305626,52.79217213,0.000743177,0.001400436
180,0,34,0.754387097,49.30448672,0.807560338,55.07633638,0.000856738,0.000639889
180,0,35,0.75733871,48.76404795,0.798703281,53.23689492,0.000499617,0.000606721
180,0,36,0.756427419,48.82010406,0.797960305,53.1707004,0.000377249,0.000549029
180,0,37,0.753540323,49.51003222,0.807367758,55.29653213,0.000844434,0.000628555
180,0,38,0.770629032,49.51279845,0.796728119,52.67182488,0.000413716,0.002716888
180,0,39,0.740395161,49.95874467,0.783750968,54.31396139,0.000475128,0.000767588
180,0,40,0.745741935,49.70577762,0.8118904,56.35492851,0.00088898,0.001053762
180,0,41,0.771830645,49.26817203,0.829198863,54.31449345,0.000161374,0.002593398
180,0,42,0.74158871,49.60579605,0.820389032,57.03307068,0.000767488,0.001556415
180,0,43,0.749895161,49.83922034,0.797689834,55.08781829,0.000835711,0.000608961
180,0,44,0.765717742,49.10741611,0.799685888,53.01398576,0.000492903,0.001554782
180,0,45,0.746814516,48.99640026,0.805501397,54.46437232,0.000395279,0.000472398
180,0,46,0.745709677,49.51304078,0.818630375,56.46127528,0.000620486,0.000989672
180,0,47,0.765540323,48.66731328,0.813296434,53.71915992,0.000756401,0.00129173
180,0,48,0.739451613,49.96885306,0.781921995,55.0662165,0.000969379,0.00158188
180,0,49,0.762072581,48.67867619,0.819192436,53.82023123,0.000252546,0.000949903
180,0,50,0.749862903,48.4166176,0.808145662,53.68899603,0.000255664,0.000320994
180,0,51,0.761395161,48.95164535,0.805044725,53.22252226,0.000446523,0.000984649
180,0,52,0.770016129,48.3160901,0.846954448,55.11814026,0.000357102,0.001730952
180,0,53,0.752209677,47.97481837,0.821928178,54.25688513,0.000416409,0.000440466
180,0,54,0.760879032,48.92294932,0.796513473,53.07103859,0.000566134,0.00091442
180,0,55,0.764370968,48.4192879,0.835427089,54.52496763,0.000234476,0.001107055
180,0,56,0.757919355,48.39596112,0.821468792,53.99312828,0.000293053,0.000544871
180,0,57,0.75958871,49.54799904,0.787790652,53.1408868,0.000562996,0.000895538
180,0,58,0.75791129,48.29187043,0.814310092,53.92862031,0.000509464,0.000600355
180,0,59,0.760185484,48.47341599,0.810905161,53.74288877,0.000523573,0.000748917
180,0,60,0.757862903,48.6375153,0.810769415,53.57772628,0.000383026,0.000581468
180,0,61,0.749241935,48.19328901,0.812284231,54.02995268,0.000346564,0.000458279
180,0,62,0.758298387,49.9405572,0.779809702,52.90594434,0.000553732,0.000888574
180,0,63,0.745870968,49.85478171,0.798053112,55.32835064,0.000684251,0.000763875
180,0,64,0.7525,49.71708348,0.802169526,55.04685169,0.000675455,0.00054886
180,0,65,0.757169355,49.37922776,0.790761631,53.26409045,0.000657142,0.000661243
180,0,66,0.73525,49.96848821,0.788967241,55.73506246,0.000978208,0.002213265
180,0,67,0.739290323,49.49805763,0.822057388,56.85294798,0.000514784,0.001553711
180,0,68,0.753032258,48.60302478,0.809111974,54.31858217,0.000555955,0.000534535
180,0,69,0.761846774,48.86835061,0.79901286,53.18304768,0.000626343,0.000983936
180,0,70,0.75141129,49.85632811,0.79497609,54.77821184,0.000746857,0.000556442
180,0,71,0.757766129,49.36589358,0.78532387,52.54556932,0.00039432,0.0007897
180,0,72,0.76283871,49.06217887,0.797630442,52.97101023,0.000418718,0.001176657
180,0,73,0.742258065,49.72874377,0.808676935,56.05087214,0.000494993,0.001073455
180,0,74,0.747145161,47.81751555,0.822501871,54.66229634,0.000422757,0.00077882
180,0,75,0.767330645,49.19434763,0.798265142,52.92241196,0.000611383,0.001838134
180,0,76,0.751370968,48.60863667,0.813761768,54.8601325,0.000734999,0.000642703
180,0,77,0.746854839,48.28933793,0.824051407,55.55284412,0.000752197,0.001034811
180,0,78,0.75691129,48.63303392,0.806509332,53.49870635,0.00030276,0.000535404
180,0,79,0.755620968,48.79970615,0.80007874,53.22742546,0.000254835,0.000486222
180,0,80,0.753459677,49.06914068,0.800936509,54.03812112,0.000494894,0.000470877
180,0,81,0.753443548,49.97847568,0.769317377,53.11191542,0.001051374,0.000690626
180,0,82,0.756395161,48.22445704,0.815403897,53.98818588,0.00044449,0.000531201
180,0,83,0.75316129,48.26801531,0.810205701,53.90771323,0.000504166,0.000478286
180,0,84,0.759193548,48.0141845,0.83612715,54.60435029,0.000191628,0.000607215
180,0,85,0.744177419,49.56611293,0.817658628,56.51793929,0.00072726,0.001097723
180,0,86,0.763024194,48.75231142,0.816340374,53.70647568,0.000260906,0.001071555
180,0,87,0.752725806,49.89255405,0.788898046,54.07076711,0.000667416,0.000489517
180,0,88,0.750959677,49.81976486,0.796469728,54.74222472,0.00060953,0.000503538
180,0,89,0.761637097,48.98805523,0.797735525,53.03780463,0.000451731,0.001010011
180,0,90,0.764814516,48.86095229,0.805909078,53.37327978,0.000729253,0.001294478
180,0,91,0.76133871,48.45923547,0.813155781,53.81043576,0.000529287,0.000830071
180,0,92,0.758419355,48.5010514,0.810331767,53.6927445,0.000424328,0.000621913
180,0,93,0.75683871,49.11830761,0.792189831,52.76223081,0.000255346,0.000641365
180,0,94,0.743935484,47.94956108,0.832106598,55.95492032,0.000485926,0.001500684
180,0,95,0.754572581,48.89682541,0.799074287,53.55459682,0.000407947,0.000471437
180,0,96,0.753701613,49.38819205,0.80856673,55.28157099,0.000921512,0.000647726
180,0,97,0.743733871,49.75612194,0.80674327,55.92527946,0.000599525,0.000970309
180,0,98,0.756274194,47.829752,0.821828843,54.38093267,0.00101612,0.000667504
180,0,99,0.762645161,48.7896676,0.805004411,53.38479404,0.000628656,0.001030045
180,90,0,0.7365,12.99616984,0.718534945,13.94383796,0.000370475,0.00142595
180,90,1,0.754343476,33.81947614,0.741099686,34.49371787,0.00032437,0.000382579
180,90,2,0.74806368,152.7321806,1.071901711,194.666274,0.000425114,0.000595429
180,90,3,0.747623569,26.40852939,0.7264431,26.40851415,0.000537317,0.00048394
180,90,4,0.741733871,10.08980474,0.725357523,15.09576105,0.000436002,0.000700988
180,90,5,0.743353325,46.66248694,0.73395442,47.70781203,0.000435574,0.000497464
180,90,6,0.752136232,30.54094829,0.74068838,30.93414807,0.000172715,0.000389252
180,90,7,0.748594111,81.52951632,0.754467777,84.34107955,0.000471751,0.000492776
180,90,8,0.747935484,13.18825423,0.730814513,14.4069627,0.000407798,0.00025778
180,90,9,0.744782927,94.21860282,0.776192428,100.1433489,0.000661969,0.000489206
180,90,10,0.754965234,31.69595759,0.740031271,32.55238838,0.000475997,0.000302284
180,90,11,0.744129369,32.52474708,0.732883844,33.37959975,0.000387389,0.000341522
180,90,12,0.747387097,13.39608885,0.733698925,14.62530223,0.000224243,0.000193242
180,90,13,0.741024194,12.92505466,0.726739245,14.20617522,0.000248538,0.000486283
180,90,14,0.753717742,12.33959051,0.743548387,14.66860486,0.000158888,0.000556249
180,90,15,0.740743107,75.56603336,0.757112056,79.87563022,0.001312542,0.000939326
180,90,16,0.723967742,10.10053466,0.705548384,15.06675446,0.000438442,0.004644687
180,90,17,0.735258065,13.50268424,0.718094085,14.07217933,0.000312073,0.001480415
180,90,18,0.75253785,63.89773966,0.752667275,66.24433704,0.000932609,0.000744244
180,90,19,0.738564516,13.45920064,0.721854837,14.28880904,0.000314747,0.000964732
180,90,20,0.722887097,12.0889147,0.705567204,13.38055503,0.000342578,0.004281344
180,90,21,0.753522428,30.28146697,0.737799652,31.20986181,0.00055549,0.000251471
180,90,22,0.756088709,23.79297087,0.741669737,24.04441747,0.000218462,0.000473002
180,90,23,0.760072581,14.29678131,0.74494355,14.99841214,0.000264608,0.000753757
180,90,24,0.755166023,42.77814561,0.741305841,43.59867572,0.000490129,0.00048145
180,90,25,0.75490555,41.46762299,0.74367125,42.52419847,0.000514958,0.000533049
180,90,26,0.741153226,11.54548084,0.725639782,14.49067065,0.000318271,0.000611768
180,90,27,0.73175,12.85924976,0.719596773,13.93907931,0.000188801,0.001270314
180,90,28,0.747830645,11.10961211,0.73136828,14.22316943,0.000319902,0.000242977
180,90,29,0.732370968,13.4823125,0.71827688,14.0312996,0.000273352,0.001449759
180,90,30,0.744588508,21.10731606,0.728686769,21.10732214,0.000278603,0.000348563
